"filename", "language", "HTML", "Markdown", "Go", "Makefile", "XML", "YAML", "comment", "blank", "total"
"c:\Users\sangfor\sangfor\github.com\echo\.github\ISSUE_TEMPLATE.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 10, 25
"c:\Users\sangfor\sangfor\github.com\echo\.github\stale.yml", "YAML", 0, 0, 0, 0, 0, 13, 6, 1, 20
"c:\Users\sangfor\sangfor\github.com\echo\.github\workflows\echo.yml", "YAML", 0, 0, 0, 0, 0, 102, 2, 17, 121
"c:\Users\sangfor\sangfor\github.com\echo\.travis.yml", "YAML", 0, 0, 0, 0, 0, 20, 0, 2, 22
"c:\Users\sangfor\sangfor\github.com\echo\CHANGELOG.md", "Markdown", 0, 126, 0, 0, 0, 0, 0, 42, 168
"c:\Users\sangfor\sangfor\github.com\echo\Makefile", "Makefile", 0, 0, 0, 24, 0, 0, 0, 11, 35
"c:\Users\sangfor\sangfor\github.com\echo\README.md", "Markdown", 0, 95, 0, 0, 0, 0, 2, 33, 130
"c:\Users\sangfor\sangfor\github.com\echo\_fixture\_fixture\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sangfor\sangfor\github.com\echo\_fixture\certs\README.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\sangfor\sangfor\github.com\echo\_fixture\folder\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\sangfor\sangfor\github.com\echo\_fixture\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\sangfor\sangfor\github.com\echo\bind.go", "Go", 0, 0, 274, 0, 0, 0, 36, 31, 341
"c:\Users\sangfor\sangfor\github.com\echo\bind_test.go", "Go", 0, 0, 949, 0, 0, 0, 20, 77, 1046
"c:\Users\sangfor\sangfor\github.com\echo\binder.go", "Go", 0, 0, 897, 0, 0, 0, 185, 149, 1231
"c:\Users\sangfor\sangfor\github.com\echo\binder_external_test.go", "Go", 0, 0, 99, 0, 0, 0, 10, 22, 131
"c:\Users\sangfor\sangfor\github.com\echo\binder_go1.15_test.go", "Go", 0, 0, 234, 0, 0, 0, 8, 24, 266
"c:\Users\sangfor\sangfor\github.com\echo\binder_test.go", "Go", 0, 0, 2561, 0, 0, 0, 5, 192, 2758
"c:\Users\sangfor\sangfor\github.com\echo\codecov.yml", "YAML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\sangfor\sangfor\github.com\echo\context.go", "Go", 0, 0, 459, 0, 0, 0, 75, 123, 657
"c:\Users\sangfor\sangfor\github.com\echo\context_test.go", "Go", 0, 0, 752, 0, 0, 0, 47, 132, 931
"c:\Users\sangfor\sangfor\github.com\echo\echo.go", "Go", 0, 0, 374, 0, 0, 0, 570, 50, 994
"c:\Users\sangfor\sangfor\github.com\echo\echo_test.go", "Go", 0, 0, 118, 0, 0, 0, 1350, 11, 1479
"c:\Users\sangfor\sangfor\github.com\echo\go.mod", "XML", 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\sangfor\sangfor\github.com\echo\group.go", "Go", 0, 0, 20, 0, 0, 0, 102, 3, 125
"c:\Users\sangfor\sangfor\github.com\echo\group_test.go", "Go", 0, 0, 93, 0, 0, 0, 22, 7, 122
"c:\Users\sangfor\sangfor\github.com\echo\ip.go", "Go", 0, 0, 106, 0, 0, 0, 17, 15, 138
"c:\Users\sangfor\sangfor\github.com\echo\ip_test.go", "Go", 0, 0, 222, 0, 0, 0, 6, 8, 236
"c:\Users\sangfor\sangfor\github.com\echo\json.go", "Go", 0, 0, 23, 0, 0, 0, 4, 5, 32
"c:\Users\sangfor\sangfor\github.com\echo\json_test.go", "Go", 0, 0, 63, 0, 0, 0, 16, 23, 102
"c:\Users\sangfor\sangfor\github.com\echo\log.go", "Go", 0, 0, 37, 0, 0, 0, 1, 4, 42
"c:\Users\sangfor\sangfor\github.com\echo\middleware\basic_auth.go", "Go", 0, 0, 74, 0, 0, 0, 17, 16, 107
"c:\Users\sangfor\sangfor\github.com\echo\middleware\basic_auth_test.go", "Go", 0, 0, 54, 0, 0, 0, 6, 12, 72
"c:\Users\sangfor\sangfor\github.com\echo\middleware\body_dump.go", "Go", 0, 0, 72, 0, 0, 0, 16, 20, 108
"c:\Users\sangfor\sangfor\github.com\echo\middleware\body_dump_test.go", "Go", 0, 0, 77, 0, 0, 0, 1, 14, 92
"c:\Users\sangfor\sangfor\github.com\echo\middleware\body_limit.go", "Go", 0, 0, 81, 0, 0, 0, 18, 19, 118
"c:\Users\sangfor\sangfor\github.com\echo\middleware\body_limit_test.go", "Go", 0, 0, 67, 0, 0, 0, 6, 13, 86
"c:\Users\sangfor\sangfor\github.com\echo\middleware\compress.go", "Go", 0, 0, 115, 0, 0, 0, 13, 19, 147
"c:\Users\sangfor\sangfor\github.com\echo\middleware\compress_test.go", "Go", 0, 0, 148, 0, 0, 0, 12, 27, 187
"c:\Users\sangfor\sangfor\github.com\echo\middleware\cors.go", "Go", 0, 0, 147, 0, 0, 0, 39, 26, 212
"c:\Users\sangfor\sangfor\github.com\echo\middleware\cors_test.go", "Go", 0, 0, 88, 0, 0, 0, 312, 10, 410
"c:\Users\sangfor\sangfor\github.com\echo\middleware\csrf.go", "Go", 0, 0, 143, 0, 0, 0, 48, 31, 222
"c:\Users\sangfor\sangfor\github.com\echo\middleware\csrf_test.go", "Go", 0, 0, 131, 0, 0, 0, 4, 26, 161
"c:\Users\sangfor\sangfor\github.com\echo\middleware\decompress.go", "Go", 0, 0, 90, 0, 0, 0, 11, 20, 121
"c:\Users\sangfor\sangfor\github.com\echo\middleware\decompress_test.go", "Go", 0, 0, 180, 0, 0, 0, 4, 26, 210
"c:\Users\sangfor\sangfor\github.com\echo\middleware\jwt.go", "Go", 0, 0, 225, 0, 0, 0, 81, 42, 348
"c:\Users\sangfor\sangfor\github.com\echo\middleware\jwt_test.go", "Go", 0, 0, 548, 0, 0, 0, 8, 50, 606
"c:\Users\sangfor\sangfor\github.com\echo\middleware\key_auth.go", "Go", 0, 0, 127, 0, 0, 0, 34, 21, 182
"c:\Users\sangfor\sangfor\github.com\echo\middleware\key_auth_test.go", "Go", 0, 0, 247, 0, 0, 0, 0, 13, 260
"c:\Users\sangfor\sangfor\github.com\echo\middleware\logger.go", "Go", 0, 0, 168, 0, 0, 0, 40, 16, 224
"c:\Users\sangfor\sangfor\github.com\echo\middleware\logger_test.go", "Go", 0, 0, 144, 0, 0, 0, 7, 23, 174
"c:\Users\sangfor\sangfor\github.com\echo\middleware\method_override.go", "Go", 0, 0, 59, 0, 0, 0, 20, 14, 93
"c:\Users\sangfor\sangfor\github.com\echo\middleware\method_override_test.go", "Go", 0, 0, 38, 0, 0, 0, 4, 8, 50
"c:\Users\sangfor\sangfor\github.com\echo\middleware\middleware.go", "Go", 0, 0, 71, 0, 0, 0, 7, 12, 90
"c:\Users\sangfor\sangfor\github.com\echo\middleware\middleware_test.go", "Go", 0, 0, 86, 0, 0, 0, 0, 7, 93
"c:\Users\sangfor\sangfor\github.com\echo\middleware\proxy.go", "Go", 0, 0, 211, 0, 0, 0, 54, 39, 304
"c:\Users\sangfor\sangfor\github.com\echo\middleware\proxy_test.go", "Go", 0, 0, 290, 0, 0, 0, 56, 32, 378
"c:\Users\sangfor\sangfor\github.com\echo\middleware\rate_limiter.go", "Go", 0, 0, 157, 0, 0, 0, 90, 21, 268
"c:\Users\sangfor\sangfor\github.com\echo\middleware\rate_limiter_test.go", "Go", 0, 0, 373, 0, 0, 0, 0, 88, 461
"c:\Users\sangfor\sangfor\github.com\echo\middleware\recover.go", "Go", 0, 0, 71, 0, 0, 0, 18, 13, 102
"c:\Users\sangfor\sangfor\github.com\echo\middleware\recover_test.go", "Go", 0, 0, 72, 0, 0, 0, 0, 12, 84
"c:\Users\sangfor\sangfor\github.com\echo\middleware\redirect.go", "Go", 0, 0, 93, 0, 0, 0, 38, 22, 153
"c:\Users\sangfor\sangfor\github.com\echo\middleware\redirect_test.go", "Go", 0, 0, 256, 0, 0, 0, 0, 25, 281
"c:\Users\sangfor\sangfor\github.com\echo\middleware\request_id.go", "Go", 0, 0, 50, 0, 0, 0, 9, 12, 71
"c:\Users\sangfor\sangfor\github.com\echo\middleware\request_id_test.go", "Go", 0, 0, 48, 0, 0, 0, 1, 9, 58
"c:\Users\sangfor\sangfor\github.com\echo\middleware\rewrite.go", "Go", 0, 0, 47, 0, 0, 0, 22, 13, 82
"c:\Users\sangfor\sangfor\github.com\echo\middleware\rewrite_test.go", "Go", 0, 0, 80, 0, 0, 0, 169, 13, 262
"c:\Users\sangfor\sangfor\github.com\echo\middleware\secure.go", "Go", 0, 0, 75, 0, 0, 0, 52, 19, 146
"c:\Users\sangfor\sangfor\github.com\echo\middleware\secure_test.go", "Go", 0, 0, 78, 0, 0, 0, 5, 9, 92
"c:\Users\sangfor\sangfor\github.com\echo\middleware\slash.go", "Go", 0, 0, 87, 0, 0, 0, 25, 19, 131
"c:\Users\sangfor\sangfor\github.com\echo\middleware\slash_test.go", "Go", 0, 0, 254, 0, 0, 0, 2, 23, 279
"c:\Users\sangfor\sangfor\github.com\echo\middleware\static.go", "Go", 0, 0, 140, 0, 0, 0, 120, 17, 277
"c:\Users\sangfor\sangfor\github.com\echo\middleware\static_1_16_test.go", "Go", 0, 0, 93, 0, 0, 0, 1, 13, 107
"c:\Users\sangfor\sangfor\github.com\echo\middleware\static_test.go", "Go", 0, 0, 132, 0, 0, 0, 172, 5, 309
"c:\Users\sangfor\sangfor\github.com\echo\middleware\timeout.go", "Go", 0, 0, 82, 0, 0, 0, 81, 20, 183
"c:\Users\sangfor\sangfor\github.com\echo\middleware\timeout_test.go", "Go", 0, 0, 342, 0, 0, 0, 20, 82, 444
"c:\Users\sangfor\sangfor\github.com\echo\middleware\util.go", "Go", 0, 0, 47, 0, 0, 0, 2, 6, 55
"c:\Users\sangfor\sangfor\github.com\echo\middleware\util_test.go", "Go", 0, 0, 43, 0, 0, 0, 48, 5, 96
"c:\Users\sangfor\sangfor\github.com\echo\response.go", "Go", 0, 0, 69, 0, 0, 0, 24, 12, 105
